variant,active_days,sharpe_active,ir_vs_cash_active,ir_vs_equal_weight_active,ir_vs_btc_active,max_dd,max_dd_vs_baseline_multiple,gross_alpha,net_alpha,net_alpha_delta_vs_baseline,alpha_decay_vs_baseline,alpha_retention_pct,long_net_contribution,short_net_contribution,top5_concentration_net_alpha_total,single_symbol_concentration_net_alpha_total,top_symbol,fee_cost,slippage_cost,funding_cost,gross_exposure_mean,net_exposure_mean,turnover_proxy_sum
baseline_current_long_short,760,0.8918383335973169,0.8918383335973169,0.7168297988967604,-0.027270136895207235,-0.19639391054316346,1.0,0.2958303702519035,0.285325552778563,5.551115123125783e-17,-5.551115123125783e-17,1.0000000000000002,-0.0500936861537534,0.33562923893231644,0.9555841694899185,0.25453623476808096,BYBIT:DOTUSDT.P,0.0035510511363636365,0.0045014015151515156,0.0024523648218253953,1.000751879699248,0.0005639097744360903,9.002803030303031
short_only_unscaled,760,0.40452349412793404,0.40452349412793404,0.5511032175197697,0.01343551338418832,-0.4918343936488285,2.504326087751754,0.31625127229464856,0.3373277527017551,0.05200219992319216,-0.05200219992319216,1.182255670467588,0.0,0.33732775270175513,0.724691105325445,0.21529711476656369,BYBIT:DOTUSDT.P,0.0018848257575757575,0.0022368244949494947,-0.025198130659632043,0.5008511833561177,-0.5008511833561177,4.473648989898989
short_only_rescaled,760,0.4105843615584708,0.4105843615584708,0.5189067545422866,0.14934986679162257,-0.7574227473645785,3.856650877156968,0.6429882367436677,0.6851538916189115,0.3998283388403486,-0.3998283388403486,2.4013057538896616,0.0,0.6851538916189116,0.7163543862933514,0.21242948089029515,BYBIT:DOTUSDT.P,0.0037789242424242425,0.004496830808080808,-0.050441409925748915,1.0026098627249944,-1.0026098627249944,8.993661616161615
long_only_unscaled,760,-0.07633935782808647,-0.07633935782808647,0.9492572986294188,-0.6615637883174287,-0.41584708720411534,2.1174133457295787,-0.020420902042744868,-0.0517921999231922,-0.33711775270175515,0.33711775270175515,-0.18151966908967102,-0.05179219992319216,0.0,-3.8935286558490336,-0.9664054774960399,BYBIT:XRPUSDT.P,0.001606225378787879,0.00211457702020202,0.027650495481457447,0.5008045112781955,0.5008045112781955,4.22915404040404
long_only_rescaled,760,-0.07334826576246302,-0.07334826576246302,1.7341149054345266,-0.5486890431558911,-0.704416617879796,3.5867538658994182,-0.03680651419630185,-0.09947464176986337,-0.3848001945484263,0.3848001945484263,-0.3486355876687435,-0.09947464176986315,0.0,-4.058935445733926,-1.0075804451966024,BYBIT:XRPUSDT.P,0.003214784090909091,0.0042349873737373735,0.05521835610891488,1.000782268170426,1.000782268170426,8.469974747474748
no_long_side,760,0.40452349412793404,0.40452349412793404,0.5511032175197697,0.01343551338418832,-0.4918343936488285,2.504326087751754,0.31625127229464856,0.3373277527017551,0.05200219992319216,-0.05200219992319216,1.182255670467588,0.0,0.33732775270175513,0.724691105325445,0.21529711476656369,BYBIT:DOTUSDT.P,0.0018848257575757575,0.0022368244949494947,-0.025198130659632043,0.5008511833561177,-0.5008511833561177,4.473648989898989
long_half_weight,760,0.5846071489024671,0.5846071489024671,0.6224849629752951,-0.0023014479656795826,-0.34040497287622273,1.7332766170538088,0.3060408212732759,0.31143165274015905,0.02610609996159613,-0.02610609996159613,1.0914958359227527,-0.02577187849527291,0.337203531235432,0.805758652738138,0.23319945563777214,BYBIT:DOTUSDT.P,0.0026879384469696973,0.0032941130050505056,-0.011372882918903324,0.750422932330827,-0.24976503759398497,6.58822601010101
long_with_50pct_cap,760,0.8999792286518747,0.8999792286518747,0.7181672744316511,-0.024745530019452358,-0.19639391054316346,1.0,0.2982825671592271,0.2880292626795532,0.002703709900990281,-0.002703709900990281,1.0094758772029389,-0.04759997625276323,0.33562923893231644,0.9469463761664858,0.2521469215028212,BYBIT:DOTUSDT.P,0.003491051136363636,0.004351401515151516,0.0024108518281587277,1.0002387218045112,5.0751879699247396e-05,8.70280303030303
top5_symbol_cap_5pct,760,0.7225476158500358,0.7225476158500358,0.6926986154870609,-0.07993608367216942,-0.19639391054316369,1.000000000000001,0.2426078638345844,0.2299215687898153,-0.05540398398874763,0.05540398398874763,0.8058218640103858,-0.05002939947166443,0.2799509682614798,1.0356110970474368,0.21387308518629367,BYBIT:XRPUSDT.P,0.003330590818903319,0.0041724729437229435,0.005183231282142856,0.9766697994987468,0.014577067669172938,8.344945887445888
DOT_capped,760,0.7921847347538138,0.7921847347538138,0.7030223916801337,-0.059363721997474604,-0.19639391054316313,0.9999999999999983,0.26336948619445977,0.25150608385207157,-0.03381946892649135,0.03381946892649135,0.8814705917603596,-0.0500936861537534,0.30159977000582505,0.983057771514553,0.21361735759152659,BYBIT:LTCUSDT.P,0.00344526939033189,0.00430257215007215,0.004115560801984126,0.9907910401002507,0.010524749373433586,8.6051443001443
no_DOT,760,0.7131865925855001,0.7131865925855001,0.6965139691626783,-0.09875798838025723,-0.1757806167978465,0.895041074907531,0.22670405592423093,0.2129098608911862,-0.07241569188737673,0.07241569188737673,0.7461997666098363,-0.0500936861537534,0.26300354704493967,1.1612661305543361,0.25234183529963755,BYBIT:LTCUSDT.P,0.003386301136363636,0.004216401515151515,0.006191492381529581,0.9644797362724996,0.03683605320118479,8.43280303030303
high_funding_cost_filter,760,0.9586442125441919,0.9586442125441919,0.7281538732883033,-0.0017624797472399767,-0.20270037977658784,1.0321113277696985,0.31999193939258674,0.3126953743192462,0.027369821540683292,-0.027369821540683292,1.0959248874632852,-0.022933864613070357,0.33562923893231644,0.8721863715127797,0.23225700746449035,BYBIT:DOTUSDT.P,0.003205051136363636,0.004091401515151515,1.1242182539408785e-07,0.996797932330827,-0.0033900375939849626,8.182803030303031
combined_paper_safe_variant,760,0.8036703627263506,0.8036703627263506,0.6961034976096455,-0.059967429447981495,-0.20270037977658806,1.0321113277696996,0.2602977983363477,0.2499075813568325,-0.03541797142173042,0.03541797142173042,0.8758682106217882,0.042137302598932336,0.2077702787579001,0.9191504237296175,0.19725358978276364,BYBIT:XRPUSDT.P,0.002824693993506493,0.003650925324675325,0.003914597661333331,0.9005394736842106,-0.0032763157894736845,7.30185064935065
